Starting 30 workers... Done!
Preparing workers... Done!
Distribution: t=0.0 Uniform UNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 18, Completed tasks: 0.
80%, Active workers: 30, Completed tasks: 390.
81%, Active workers: 30, Completed tasks: 394.
82%, Active workers: 30, Completed tasks: 398.
83%, Active workers: 30, Completed tasks: 398.
84%, Active workers: 30, Completed tasks: 402.
85%, Active workers: 30, Completed tasks: 406.
86%, Active workers: 30, Completed tasks: 420.
87%, Active workers: 30, Completed tasks: 424.
88%, Active workers: 30, Completed tasks: 428.
89%, Active workers: 30, Completed tasks: 428.
90%, Active workers: 30, Completed tasks: 432.
91%, Active workers: 30, Completed tasks: 435.
92%, Active workers: 30, Completed tasks: 449.
93%, Active workers: 30, Completed tasks: 454.
94%, Active workers: 29, Completed tasks: 458.
95%, Active workers: 29, Completed tasks: 459.
96%, Active workers: 27, Completed tasks: 463.
97%, Active workers: 25, Completed tasks: 468.
98%, Active workers: 16, Completed tasks: 484.
99%, Active workers: 12, Completed tasks: 488.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.05 Uniform UNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 26, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 11.
7%, Active workers: 30, Completed tasks: 30.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 30.
11%, Active workers: 30, Completed tasks: 30.
12%, Active workers: 30, Completed tasks: 42.
13%, Active workers: 30, Completed tasks: 60.
14%, Active workers: 30, Completed tasks: 60.
15%, Active workers: 30, Completed tasks: 60.
16%, Active workers: 30, Completed tasks: 60.
17%, Active workers: 30, Completed tasks: 60.
18%, Active workers: 30, Completed tasks: 75.
19%, Active workers: 30, Completed tasks: 90.
20%, Active workers: 30, Completed tasks: 90.
21%, Active workers: 30, Completed tasks: 90.
22%, Active workers: 30, Completed tasks: 90.
23%, Active workers: 30, Completed tasks: 90.
24%, Active workers: 30, Completed tasks: 105.
25%, Active workers: 30, Completed tasks: 120.
26%, Active workers: 30, Completed tasks: 120.
27%, Active workers: 30, Completed tasks: 120.
28%, Active workers: 30, Completed tasks: 120.
29%, Active workers: 30, Completed tasks: 120.
30%, Active workers: 30, Completed tasks: 135.
31%, Active workers: 30, Completed tasks: 145.
32%, Active workers: 30, Completed tasks: 150.
33%, Active workers: 30, Completed tasks: 150.
34%, Active workers: 30, Completed tasks: 150.
35%, Active workers: 30, Completed tasks: 151.
36%, Active workers: 30, Completed tasks: 165.
37%, Active workers: 30, Completed tasks: 168.
38%, Active workers: 30, Completed tasks: 180.
39%, Active workers: 30, Completed tasks: 180.
40%, Active workers: 30, Completed tasks: 180.
41%, Active workers: 30, Completed tasks: 190.
42%, Active workers: 30, Completed tasks: 195.
43%, Active workers: 30, Completed tasks: 196.
44%, Active workers: 30, Completed tasks: 209.
45%, Active workers: 30, Completed tasks: 210.
46%, Active workers: 30, Completed tasks: 210.
47%, Active workers: 30, Completed tasks: 220.
48%, Active workers: 30, Completed tasks: 225.
49%, Active workers: 30, Completed tasks: 227.
50%, Active workers: 30, Completed tasks: 239.
51%, Active workers: 30, Completed tasks: 240.
52%, Active workers: 30, Completed tasks: 240.
53%, Active workers: 30, Completed tasks: 252.
54%, Active workers: 30, Completed tasks: 255.
55%, Active workers: 30, Completed tasks: 257.
56%, Active workers: 30, Completed tasks: 260.
57%, Active workers: 30, Completed tasks: 270.
58%, Active workers: 30, Completed tasks: 274.
59%, Active workers: 30, Completed tasks: 285.
60%, Active workers: 30, Completed tasks: 285.
61%, Active workers: 30, Completed tasks: 286.
62%, Active workers: 30, Completed tasks: 288.
63%, Active workers: 30, Completed tasks: 300.
64%, Active workers: 30, Completed tasks: 309.
65%, Active workers: 30, Completed tasks: 315.
66%, Active workers: 30, Completed tasks: 315.
67%, Active workers: 30, Completed tasks: 316.
68%, Active workers: 30, Completed tasks: 318.
69%, Active workers: 30, Completed tasks: 330.
70%, Active workers: 30, Completed tasks: 341.
71%, Active workers: 30, Completed tasks: 345.
72%, Active workers: 30, Completed tasks: 345.
73%, Active workers: 30, Completed tasks: 346.
74%, Active workers: 30, Completed tasks: 347.
75%, Active workers: 30, Completed tasks: 360.
76%, Active workers: 30, Completed tasks: 371.
77%, Active workers: 30, Completed tasks: 375.
78%, Active workers: 30, Completed tasks: 375.
79%, Active workers: 30, Completed tasks: 375.
80%, Active workers: 30, Completed tasks: 377.
81%, Active workers: 30, Completed tasks: 386.
82%, Active workers: 30, Completed tasks: 404.
83%, Active workers: 30, Completed tasks: 405.
84%, Active workers: 30, Completed tasks: 405.
85%, Active workers: 30, Completed tasks: 405.
86%, Active workers: 30, Completed tasks: 407.
87%, Active workers: 30, Completed tasks: 418.
88%, Active workers: 30, Completed tasks: 433.
89%, Active workers: 30, Completed tasks: 435.
90%, Active workers: 30, Completed tasks: 435.
91%, Active workers: 30, Completed tasks: 435.
92%, Active workers: 30, Completed tasks: 437.
93%, Active workers: 30, Completed tasks: 447.
94%, Active workers: 29, Completed tasks: 463.
95%, Active workers: 28, Completed tasks: 465.
96%, Active workers: 28, Completed tasks: 465.
97%, Active workers: 28, Completed tasks: 465.
98%, Active workers: 24, Completed tasks: 471.
99%, Active workers: 7, Completed tasks: 493.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.05 Uniform CNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 30, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 13.
7%, Active workers: 30, Completed tasks: 30.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 30.
11%, Active workers: 30, Completed tasks: 30.
12%, Active workers: 30, Completed tasks: 42.
13%, Active workers: 30, Completed tasks: 60.
14%, Active workers: 30, Completed tasks: 60.
15%, Active workers: 30, Completed tasks: 60.
16%, Active workers: 30, Completed tasks: 60.
17%, Active workers: 30, Completed tasks: 63.
18%, Active workers: 30, Completed tasks: 70.
19%, Active workers: 30, Completed tasks: 90.
20%, Active workers: 30, Completed tasks: 90.
21%, Active workers: 30, Completed tasks: 90.
22%, Active workers: 30, Completed tasks: 90.
23%, Active workers: 30, Completed tasks: 96.
24%, Active workers: 30, Completed tasks: 101.
25%, Active workers: 30, Completed tasks: 120.
26%, Active workers: 30, Completed tasks: 120.
27%, Active workers: 30, Completed tasks: 120.
28%, Active workers: 30, Completed tasks: 121.
29%, Active workers: 30, Completed tasks: 127.
30%, Active workers: 30, Completed tasks: 132.
31%, Active workers: 30, Completed tasks: 150.
32%, Active workers: 30, Completed tasks: 150.
33%, Active workers: 30, Completed tasks: 150.
34%, Active workers: 30, Completed tasks: 153.
35%, Active workers: 30, Completed tasks: 157.
36%, Active workers: 30, Completed tasks: 162.
37%, Active workers: 30, Completed tasks: 179.
38%, Active workers: 30, Completed tasks: 180.
39%, Active workers: 30, Completed tasks: 181.
40%, Active workers: 30, Completed tasks: 184.
41%, Active workers: 30, Completed tasks: 187.
42%, Active workers: 30, Completed tasks: 193.
43%, Active workers: 30, Completed tasks: 206.
44%, Active workers: 30, Completed tasks: 210.
45%, Active workers: 30, Completed tasks: 211.
46%, Active workers: 30, Completed tasks: 216.
47%, Active workers: 30, Completed tasks: 217.
48%, Active workers: 30, Completed tasks: 223.
49%, Active workers: 30, Completed tasks: 233.
50%, Active workers: 30, Completed tasks: 240.
51%, Active workers: 30, Completed tasks: 242.
52%, Active workers: 30, Completed tasks: 246.
53%, Active workers: 30, Completed tasks: 250.
54%, Active workers: 30, Completed tasks: 253.
55%, Active workers: 30, Completed tasks: 262.
56%, Active workers: 30, Completed tasks: 270.
57%, Active workers: 30, Completed tasks: 273.
58%, Active workers: 30, Completed tasks: 277.
59%, Active workers: 30, Completed tasks: 280.
60%, Active workers: 30, Completed tasks: 283.
61%, Active workers: 30, Completed tasks: 288.
62%, Active workers: 30, Completed tasks: 300.
63%, Active workers: 30, Completed tasks: 303.
64%, Active workers: 30, Completed tasks: 307.
65%, Active workers: 30, Completed tasks: 310.
66%, Active workers: 30, Completed tasks: 314.
67%, Active workers: 30, Completed tasks: 318.
68%, Active workers: 30, Completed tasks: 330.
69%, Active workers: 30, Completed tasks: 335.
70%, Active workers: 30, Completed tasks: 337.
71%, Active workers: 30, Completed tasks: 342.
72%, Active workers: 30, Completed tasks: 344.
73%, Active workers: 30, Completed tasks: 347.
74%, Active workers: 30, Completed tasks: 358.
75%, Active workers: 30, Completed tasks: 365.
76%, Active workers: 30, Completed tasks: 367.
77%, Active workers: 30, Completed tasks: 371.
78%, Active workers: 30, Completed tasks: 374.
79%, Active workers: 30, Completed tasks: 377.
80%, Active workers: 30, Completed tasks: 387.
81%, Active workers: 30, Completed tasks: 395.
82%, Active workers: 30, Completed tasks: 397.
83%, Active workers: 30, Completed tasks: 403.
84%, Active workers: 30, Completed tasks: 406.
85%, Active workers: 30, Completed tasks: 407.
86%, Active workers: 30, Completed tasks: 417.
87%, Active workers: 30, Completed tasks: 425.
88%, Active workers: 30, Completed tasks: 428.
89%, Active workers: 30, Completed tasks: 434.
90%, Active workers: 30, Completed tasks: 436.
91%, Active workers: 30, Completed tasks: 437.
92%, Active workers: 30, Completed tasks: 447.
93%, Active workers: 30, Completed tasks: 454.
94%, Active workers: 29, Completed tasks: 459.
95%, Active workers: 28, Completed tasks: 464.
96%, Active workers: 28, Completed tasks: 467.
97%, Active workers: 27, Completed tasks: 468.
98%, Active workers: 21, Completed tasks: 478.
99%, Active workers: 11, Completed tasks: 489.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.05 Uniform SNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 30, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 11.
7%, Active workers: 30, Completed tasks: 30.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 30.
11%, Active workers: 30, Completed tasks: 30.
12%, Active workers: 30, Completed tasks: 43.
13%, Active workers: 30, Completed tasks: 60.
14%, Active workers: 30, Completed tasks: 60.
15%, Active workers: 30, Completed tasks: 60.
16%, Active workers: 30, Completed tasks: 60.
17%, Active workers: 30, Completed tasks: 60.
18%, Active workers: 30, Completed tasks: 73.
19%, Active workers: 30, Completed tasks: 90.
20%, Active workers: 30, Completed tasks: 90.
21%, Active workers: 30, Completed tasks: 90.
22%, Active workers: 30, Completed tasks: 90.
23%, Active workers: 30, Completed tasks: 91.
24%, Active workers: 30, Completed tasks: 105.
25%, Active workers: 30, Completed tasks: 120.
26%, Active workers: 30, Completed tasks: 120.
27%, Active workers: 30, Completed tasks: 120.
28%, Active workers: 30, Completed tasks: 120.
29%, Active workers: 30, Completed tasks: 122.
30%, Active workers: 30, Completed tasks: 133.
31%, Active workers: 30, Completed tasks: 150.
32%, Active workers: 30, Completed tasks: 150.
33%, Active workers: 30, Completed tasks: 150.
34%, Active workers: 30, Completed tasks: 150.
35%, Active workers: 30, Completed tasks: 152.
36%, Active workers: 30, Completed tasks: 160.
37%, Active workers: 30, Completed tasks: 180.
38%, Active workers: 30, Completed tasks: 180.
39%, Active workers: 30, Completed tasks: 180.
40%, Active workers: 30, Completed tasks: 180.
41%, Active workers: 30, Completed tasks: 183.
42%, Active workers: 30, Completed tasks: 191.
43%, Active workers: 30, Completed tasks: 210.
44%, Active workers: 30, Completed tasks: 210.
45%, Active workers: 30, Completed tasks: 210.
46%, Active workers: 30, Completed tasks: 210.
47%, Active workers: 30, Completed tasks: 213.
48%, Active workers: 30, Completed tasks: 223.
49%, Active workers: 30, Completed tasks: 240.
50%, Active workers: 30, Completed tasks: 240.
51%, Active workers: 30, Completed tasks: 240.
52%, Active workers: 30, Completed tasks: 242.
53%, Active workers: 30, Completed tasks: 243.
54%, Active workers: 30, Completed tasks: 255.
55%, Active workers: 30, Completed tasks: 270.
56%, Active workers: 30, Completed tasks: 270.
57%, Active workers: 30, Completed tasks: 271.
58%, Active workers: 30, Completed tasks: 273.
59%, Active workers: 30, Completed tasks: 273.
60%, Active workers: 30, Completed tasks: 284.
61%, Active workers: 30, Completed tasks: 298.
62%, Active workers: 30, Completed tasks: 300.
63%, Active workers: 30, Completed tasks: 301.
64%, Active workers: 30, Completed tasks: 303.
65%, Active workers: 30, Completed tasks: 303.
66%, Active workers: 30, Completed tasks: 315.
67%, Active workers: 30, Completed tasks: 324.
68%, Active workers: 30, Completed tasks: 330.
69%, Active workers: 30, Completed tasks: 331.
70%, Active workers: 30, Completed tasks: 333.
71%, Active workers: 30, Completed tasks: 334.
72%, Active workers: 30, Completed tasks: 345.
73%, Active workers: 30, Completed tasks: 354.
74%, Active workers: 30, Completed tasks: 360.
75%, Active workers: 30, Completed tasks: 363.
76%, Active workers: 30, Completed tasks: 363.
77%, Active workers: 30, Completed tasks: 364.
78%, Active workers: 30, Completed tasks: 374.
79%, Active workers: 30, Completed tasks: 383.
80%, Active workers: 30, Completed tasks: 391.
81%, Active workers: 30, Completed tasks: 393.
82%, Active workers: 30, Completed tasks: 393.
83%, Active workers: 30, Completed tasks: 394.
84%, Active workers: 30, Completed tasks: 404.
85%, Active workers: 30, Completed tasks: 413.
86%, Active workers: 30, Completed tasks: 421.
87%, Active workers: 30, Completed tasks: 423.
88%, Active workers: 30, Completed tasks: 423.
89%, Active workers: 30, Completed tasks: 425.
90%, Active workers: 30, Completed tasks: 434.
91%, Active workers: 30, Completed tasks: 442.
92%, Active workers: 30, Completed tasks: 451.
93%, Active workers: 30, Completed tasks: 453.
94%, Active workers: 30, Completed tasks: 453.
95%, Active workers: 30, Completed tasks: 456.
96%, Active workers: 28, Completed tasks: 466.
97%, Active workers: 25, Completed tasks: 473.
98%, Active workers: 17, Completed tasks: 483.
99%, Active workers: 15, Completed tasks: 485.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.1 Uniform UNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 30, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 15.
